longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity,bedroom ratio,room per household,total bedroom,Is any bedroom missing
-122.23,37.88,41,880,129,322,126,8.3252,452600,NEAR BAY,0.146590909,6.984126984,129,NO
-122.22,37.86,21,7099,1106,2401,1138,8.3014,358500,NEAR BAY,0.155796591,6.238137083,1106,NO
-122.24,37.85,52,1467,190,496,177,7.2574,352100,NEAR BAY,0.129516019,8.288135593,190,NO
-122.25,37.85,52,1274,235,558,219,5.6431,341300,NEAR BAY,0.184458399,5.817351598,235,NO
-122.25,37.85,52,1627,280,565,259,3.8462,342200,NEAR BAY,0.172095882,6.281853282,280,NO
-122.25,37.85,52,919,213,413,193,4.0368,269700,NEAR BAY,0.231773667,4.761658031,213,NO
-122.25,37.84,52,2535,489,1094,514,3.6591,299200,NEAR BAY,0.192899408,4.931906615,489,NO
-122.25,37.84,52,3104,687,1157,647,3.12,241400,NEAR BAY,0.22132732,4.797527048,687,NO
-122.26,37.84,42,2555,665,1206,595,2.0804,226700,NEAR BAY,0.260273973,4.294117647,665,NO
-122.25,37.84,52,3549,707,1551,714,3.6912,261100,NEAR BAY,0.199211045,4.970588235,707,NO
-122.26,37.85,52,2202,434,910,402,3.2031,281500,NEAR BAY,0.197093551,5.47761194,434,NO
-122.26,37.85,52,3503,752,1504,734,3.2705,241800,NEAR BAY,0.214673137,4.772479564,752,NO
-122.26,37.85,52,2491,474,1098,468,3.075,213500,NEAR BAY,0.190285026,5.322649573,474,NO
-122.26,37.84,52,696,191,345,174,2.6736,191300,NEAR BAY,0.274425287,4,191,NO
-122.26,37.85,52,2643,626,1212,620,1.9167,159200,NEAR BAY,0.236852062,4.262903226,626,NO
-122.26,37.85,50,1120,283,697,264,2.125,140000,NEAR BAY,0.252678571,4.242424242,283,NO
-122.27,37.85,52,1966,347,793,331,2.775,152500,NEAR BAY,0.176500509,5.939577039,347,NO
-122.27,37.85,52,1228,293,648,303,2.1202,155500,NEAR BAY,0.238599349,4.052805281,293,NO
-122.26,37.84,50,2239,455,990,419,1.9911,158700,NEAR BAY,0.203215721,5.343675418,455,NO
-122.27,37.84,52,1503,298,690,275,2.6033,162900,NEAR BAY,0.198270126,5.465454545,298,NO
-122.27,37.85,40,751,184,409,166,1.3578,147500,NEAR BAY,0.245006658,4.524096386,184,NO
-122.27,37.85,42,1639,367,929,366,1.7135,159800,NEAR BAY,0.223917023,4.478142077,367,NO
-122.27,37.84,52,2436,541,1015,478,1.725,113900,NEAR BAY,0.222085386,5.09623431,541,NO
-122.27,37.84,52,1688,337,853,325,2.1806,99700,NEAR BAY,0.19964455,5.193846154,337,NO
-122.27,37.84,52,2224,437,1006,422,2.6,132600,NEAR BAY,0.196492806,5.27014218,437,NO
-122.28,37.85,41,535,123,317,119,2.4038,107500,NEAR BAY,0.229906542,4.495798319,123,NO
-122.28,37.85,49,1130,244,607,239,2.4597,93800,NEAR BAY,0.215929204,4.728033473,244,NO
-122.28,37.85,52,1898,421,1102,397,1.808,105500,NEAR BAY,0.221812434,4.780856423,421,NO
-122.28,37.84,50,2082,492,1131,473,1.6424,108900,NEAR BAY,0.236311239,4.401691332,492,NO
-122.28,37.84,52,729,160,395,155,1.6875,132000,NEAR BAY,0.219478738,4.703225806,160,NO
-122.28,37.84,49,1916,447,863,378,1.9274,122300,NEAR BAY,0.233298539,5.068783069,447,NO
-122.28,37.84,52,2153,481,1168,441,1.9615,115200,NEAR BAY,0.223409196,4.882086168,481,NO
-122.27,37.84,48,1922,409,1026,335,1.7969,110400,NEAR BAY,0.212799168,5.737313433,409,NO
-122.27,37.83,49,1655,366,754,329,1.375,104900,NEAR BAY,0.221148036,5.030395137,366,NO
-122.27,37.83,51,2665,574,1258,536,2.7303,109700,NEAR BAY,0.215384615,4.972014925,574,NO
-122.27,37.83,49,1215,282,570,264,1.4861,97200,NEAR BAY,0.232098765,4.602272727,282,NO
-122.27,37.83,48,1798,432,987,374,1.0972,104500,NEAR BAY,0.240266963,4.807486631,432,NO
-122.28,37.83,52,1511,390,901,403,1.4103,103900,NEAR BAY,0.258107214,3.749379653,390,NO
-122.26,37.83,52,1470,330,689,309,3.48,191400,NEAR BAY,0.224489796,4.757281553,330,NO
-122.26,37.83,52,2432,715,1377,696,2.5898,176000,NEAR BAY,0.293996711,3.494252874,715,NO
-122.26,37.83,52,1665,419,946,395,2.0978,155400,NEAR BAY,0.251651652,4.215189873,419,NO
-122.26,37.83,51,936,311,517,249,1.2852,150000,NEAR BAY,0.332264957,3.759036145,311,NO
-122.26,37.84,49,713,202,462,189,1.025,118800,NEAR BAY,0.283309958,3.772486772,202,NO
